"Source","RelativePath","Pattern","MatchCount","Examples"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_10_skirmish_hurtgen_forest.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_10_skirmish_hurtgen_forest.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_10_skirmish_hurtgen_forest.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_12_hill400.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_12_skirmish_bulge.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_12_skirmish_bulge.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\reinf_usa.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\reinf_usa.po","SpawnDeployment","1","Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_01_pathfinders.po","Cleanup","1","destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_01_pathfinders.po","Airborne","2","airborne | airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_01_pathfinders.po","Aircraft","3","aircraft | aircraft | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_01_pathfinders.po","SpawnDeployment","1","Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_02_sainte_mere_eglise.po","Cleanup","6","destroyed | destroyed | destroyed | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_02_sainte_mere_eglise.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_02_sainte_mere_eglise.po","Aircraft","1","Aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_02_sainte_mere_eglise.po","SpawnDeployment","1","deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_03_brecourt_manor.po","Cleanup","2","destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_03_brecourt_manor.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_04_la-fiere_bridge.po","Airborne","2","Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_04_la-fiere_bridge.po","SpawnDeployment","1","call in"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_05_carentan.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_06_bloody_gulch.po","Cleanup","2","destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_06_06_bloody_gulch.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_09_01_nijmegen.po","Airborne","4","Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_09_01_nijmegen.po","SpawnDeployment","1","call in"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_09_02_veghel.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_12_01_noville.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_12_02_elsenborn.po","Airborne","2","Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1944_12_03_bastogne.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1945_04_30_elbe.po","Airborne","2","Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\1945_04_30_elbe.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\041-usa_airborne\campaign.po","Airborne","1","AIRBORNE"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_05_13_dyle.po","Cleanup","5","destroyed | destroyed | destroyed | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_05_13_dyle.po","Aircraft","7","plane | plane | aircraft | plane | plane"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_05_20_arras_skirmish.po","Cleanup","1","destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_05_20_arras_skirmish.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_06_03_dunkirk.po","Cleanup","4","retreat | retreat | retreat | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_06_03_dunkirk.po","Aircraft","1","plane"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1940_06_03_dunkirk.po","Dogfight","2","Dogfight | Dogfight"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_06_05_pegasus.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_07_13_villers-bocage_skirmish.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_07_13_villers-bocage_skirmish.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_07_18_caen_goodwood.po","Cleanup","1","destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_07_18_caen_goodwood.po","SpawnDeployment","1","call in"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_17_arnhem.po","Cleanup","2","destroyed | retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_17_arnhem.po","Airborne","2","Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_20_marketgarden_skirmish.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_20_marketgarden_skirmish.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_20_oosterbeek.po","Cleanup","4","retreat | retreat | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1944_09_20_oosterbeek.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1945_03_24_varsity.po","Cleanup","4","destroyed | destroyed | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\05-eng\1945_03_24_varsity.po","Airborne","6","airborne | airborne | Airborne | Airborne | airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1940_06_st_valery_en_caux.po","SpawnDeployment","1","call in"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_06_swordbeach.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_06_tilly_sur_seulles.po","Aircraft","4","plane | plane | aircraft | fighter"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_06_tilly_sur_seulles.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_09_koevering.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_10_woensdrecht.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\051-ger_finesthour\1944_10_woensdrecht.po","SpawnDeployment","1","reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\06-bonus\1941_12_feodosia.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\06-bonus\1941_12_feodosia.po","Aircraft","3","aircraft | aircraft | plane"
"air-combat-script","localizations\ch\interface\text\mission\single\06-bonus\1945_04_yugoslavia.po","Aircraft","11","fighter | fighter | fighter | fighter | fighter"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1940_02-fin_honkaniemi.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1940_02-fin_honkaniemi.po","SpawnDeployment","2","Reinforcement | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_07-fin_petrozavodsk.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_07-fin_petrozavodsk.po","SpawnDeployment","2","Reinforcement | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_07-rus_smolensk.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_07-rus_smolensk.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_08-fin_polar_fox_alakurtti.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_08-fin_polar_fox_alakurtti.po","SpawnDeployment","2","Reinforcement | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1941_11-ger_moscow.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1942_10-rus_stalingrad_volga.po","Aircraft","1","plane"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1942_10-rus_stalingrad_volga.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1942_11-ger_mamayev_kurgan.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1943_02-ger_kharkov.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1943_02-ger_kharkov.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1944_07-fin_ilomantsi.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1944_07-fin_ilomantsi.po","Aircraft","1","plane"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1944_07-fin_ilomantsi.po","SpawnDeployment","2","Reinforcement | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1944_07-rus_op_bagration.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1944_07-rus_op_bagration.po","SpawnDeployment","2","Reinforcement | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1945-04-ger_berlin.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\1945_04-rus_seelow_heights.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\reinf_eng.po","SpawnDeployment","2","Deploy | Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\reinf_fin.po","SpawnDeployment","1","Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\reinf_ger.po","SpawnDeployment","1","Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\reinf_rus.po","SpawnDeployment","1","Deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\0x-skirmish\_common.po","SpawnDeployment","1","call-in"
"air-combat-script","localizations\default\interface\text\dlg_2.pot","Conquest","1","conquest"
"air-combat-script","localizations\default\interface\text\dlg_frontend.pot","Conquest","104","dynamic_campaign | Conquest | Conquest | CONQUEST | Conquest"
"air-combat-script","localizations\default\interface\text\dlg_frontend.pot","Cleanup","9","Remove | remove | remove | Remove | remove"
"air-combat-script","localizations\default\interface\text\dlg_frontend.pot","Airborne","2","airborne | Airborne"
"air-combat-script","localizations\default\interface\text\dlg_frontend.pot","Aircraft","3","Aircraft | aircraft | aircraft"
"air-combat-script","localizations\default\interface\text\dlg_frontend.pot","SpawnDeployment","9","DEPLOY | purchase | Call-in | Call-in | Call-in"
"air-combat-script","localizations\default\interface\text\dlg_frontend_fh.pot","Conquest","2","dynamic_campaign | dynamic_campaign"
"air-combat-script","localizations\default\interface\text\dlg_ingame.pot","Conquest","1","conquest"
"air-combat-script","localizations\default\interface\text\dlg_ingame.pot","Cleanup","2","Destroyed | Destroyed"
"air-combat-script","localizations\default\interface\text\dlg_ingame.pot","Airborne","1","airborne"
"air-combat-script","localizations\default\interface\text\dlg_ingame.pot","Aircraft","1","plane"
"air-combat-script","localizations\default\interface\text\dlg_mp.pot","Conquest","3","conquest | Conquest | conquest"
"air-combat-script","localizations\default\interface\text\dlg_mp.pot","Cleanup","3","Remove | Remove | Remove"
"air-combat-script","localizations\default\interface\text\dlg_mp.pot","Airborne","3","Airborne | airborne | Airborne"
"air-combat-script","localizations\default\interface\text\dlg_mp.pot","SpawnDeployment","6","spawn | purchase | purchase | purchase | Reinforcement"
"air-combat-script","localizations\default\interface\text\dlg_mp_frontlines.pot","Cleanup","4","Retreat | Retreat | Retreat | Retreat"
"air-combat-script","localizations\default\interface\text\editor.pot","Cleanup","4","remove | Remove | remove | Remove"
"air-combat-script","localizations\default\interface\text\info.pot","Cleanup","2","destroyed | destroyed"
"air-combat-script","localizations\default\interface\text\info.pot","Airborne","10","airborne | airborne | airborne | airborne | Airborne"
"air-combat-script","localizations\default\interface\text\info.pot","Aircraft","27","aircraft | aircraft | aircraft | plane | fighter"
"air-combat-script","localizations\default\interface\text\info.pot","SpawnDeployment","1","deploy"
"air-combat-script","localizations\default\interface\text\tips.pot","Cleanup","2","retreat | destroyed"
"air-combat-script","localizations\default\interface\text\announcements\cu6.pot","Conquest","1","CONQUEST"
"air-combat-script","localizations\default\interface\text\announcements\cu6.pot","Aircraft","1","AIRCRAFT"
"air-combat-script","localizations\default\interface\text\announcements\finesthour_release.pot","Cleanup","1","retreat"
"air-combat-script","localizations\default\interface\text\desc\desc_ammo_ger.pot","Aircraft","1","Aircraft"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_airborne_ger.pot","Airborne","1","Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_mp_fra.pot","Aircraft","7","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_mp_ned.pot","Aircraft","8","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_mp_uk.pot","Airborne","127","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_mp_usa.pot","Airborne","241","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_breed_special_airborne.pot","Airborne","5","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_gear_usa.pot","Airborne","31","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_doctrines_eng.pot","Aircraft","3","Plane | Plane | Plane"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_doctrines_ger.pot","Aircraft","3","Plane | Plane | Plane"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_doctrines_rus.pot","Aircraft","3","Plane | Plane | Plane"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_eng.pot","Airborne","30","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_mp_usa.pot","Airborne","16","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_squad_usa_dcg_late.pot","Airborne","7","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_eng.pot","Aircraft","5","Aircraft | Bomber | Fighter | Bomber | Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_fin.pot","Aircraft","1","Bomber"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_ger.pot","Aircraft","5","Fighter | Fighter | Fighter | Bomber | Plane"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_ger_fh.pot","Aircraft","1","Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_rus.pot","Aircraft","5","Fighter | Fighter | Bomber | Plane | Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_vehicles_usa.pot","Aircraft","4","Aircraft | Fighter | Aircraft | Fighter"
"air-combat-script","localizations\default\interface\text\desc\desc_weapon_generic.pot","Aircraft","1","Aircraft"
"air-combat-script","localizations\default\interface\text\mission\multi\common.pot","Aircraft","2","aircraft | bomber"
"air-combat-script","localizations\default\interface\text\mission\multi\errors_helper.pot","Conquest","4","conquest | dcg | dcg | dcg"
